YEAR,TEAM,SEED,R64,R32,S16,E8,F4,FINALS
2026,Duke,1,99.00%,92.00%,78.00%,65.00%,55.00%,13.605%
2026,Siena,16,1.00%,0.30%,0.10%,0.02%,0.01%,0.390%
2026,Ohio State,8,51.00%,18.00%,6.00%,1.80%,0.60%,0.390%
2026,TCU,9,49.00%,16.00%,5.00%,1.50%,0.50%,0.390%
2026,St. John's,5,72.00%,48.00%,22.00%,10.00%,5.00%,1.052%
2026,Northern Iowa,12,28.00%,8.00%,2.00%,0.50%,0.20%,0.390%
2026,Kansas,4,82.00%,62.00%,35.00%,20.00%,10.00%,0.893%
2026,Cal Baptist,13,18.00%,4.00%,0.80%,0.20%,0.10%,0.390%
2026,Louisville,6,65.00%,38.00%,16.00%,6.00%,2.50%,0.966%
2026,South Florida,11,35.00%,10.00%,3.00%,0.80%,0.30%,0.390%
2026,Michigan State,3,88.00%,72.00%,48.00%,30.00%,18.00%,2.266%
2026,North Dakota State,14,12.00%,2.00%,0.40%,0.10%,0.04%,0.390%
2026,UCLA,7,58.00%,28.00%,10.00%,3.50%,1.20%,0.830%
2026,UCF,10,42.00%,12.00%,3.50%,1.00%,0.30%,0.390%
2026,UConn,2,95.00%,82.00%,60.00%,45.00%,30.00%,3.927%
2026,Furman,15,5.00%,1.00%,0.20%,0.05%,0.02%,0.390%
2026,Florida,1,99.00%,92.00%,78.00%,65.00%,55.00%,8.416%
2026,Prairie View A&M,16,1.00%,0.30%,0.10%,0.02%,0.01%,0.390%
2026,Clemson,8,51.00%,18.00%,6.00%,1.80%,0.60%,0.390%
2026,Iowa,9,49.00%,16.00%,5.00%,1.50%,0.50%,0.390%
2026,Vanderbilt,5,72.00%,48.00%,22.00%,10.00%,5.00%,1.155%
2026,McNeese,12,28.00%,8.00%,2.00%,0.50%,0.20%,0.390%
2026,Nebraska,4,82.00%,62.00%,35.00%,20.00%,10.00%,1.437%
2026,Troy,13,18.00%,4.00%,0.80%,0.20%,0.10%,0.390%
2026,North Carolina,6,65.00%,38.00%,16.00%,6.00%,2.50%,0.647%
2026,VCU,11,35.00%,10.00%,3.00%,0.80%,0.30%,0.390%
2026,Illinois,3,88.00%,72.00%,48.00%,30.00%,18.00%,2.561%
2026,Penn,14,12.00%,2.00%,0.40%,0.10%,0.04%,0.390%
2026,Saint Mary's,7,58.00%,28.00%,10.00%,3.50%,1.20%,0.390%
2026,Texas A&M,10,42.00%,12.00%,3.50%,1.00%,0.30%,0.390%
2026,Houston,2,95.00%,82.00%,60.00%,45.00%,30.00%,4.531%
2026,Idaho,15,5.00%,1.00%,0.20%,0.05%,0.02%,0.390%
2026,Arizona,1,99.00%,92.00%,78.00%,65.00%,55.00%,11.221%
2026,LIU,16,1.00%,0.30%,0.10%,0.02%,0.01%,0.390%
2026,Villanova,8,51.00%,18.00%,6.00%,1.80%,0.60%,0.390%
2026,Utah State,9,49.00%,16.00%,5.00%,1.50%,0.50%,0.390%
2026,Wisconsin,5,72.00%,48.00%,22.00%,10.00%,5.00%,0.685%
2026,High Point,12,28.00%,8.00%,2.00%,0.50%,0.20%,0.390%
2026,Arkansas,4,82.00%,62.00%,35.00%,20.00%,10.00%,1.636%
2026,Hawai'i,13,18.00%,4.00%,0.80%,0.20%,0.10%,0.390%
2026,BYU,6,65.00%,38.00%,16.00%,6.00%,2.50%,0.727%
2026,Texas,11,35.00%,10.00%,3.00%,0.80%,0.30%,0.390%
2026,Gonzaga,3,88.00%,72.00%,48.00%,30.00%,18.00%,2.031%
2026,Kennesaw State,14,12.00%,2.00%,0.40%,0.10%,0.04%,0.390%
2026,Miami (FL),7,58.00%,28.00%,10.00%,3.50%,1.20%,0.390%
2026,Missouri,10,42.00%,12.00%,3.50%,1.00%,0.30%,0.390%
2026,Purdue,2,95.00%,82.00%,60.00%,45.00%,30.00%,3.100%
2026,Queens,15,5.00%,1.00%,0.20%,0.05%,0.02%,0.390%
2026,Michigan,1,99.00%,92.00%,78.00%,65.00%,55.00%,13.861%
2026,UMBC,16,1.00%,0.30%,0.10%,0.02%,0.01%,0.390%
2026,Georgia,8,51.00%,18.00%,6.00%,1.80%,0.60%,0.390%
2026,Saint Louis,9,49.00%,16.00%,5.00%,1.50%,0.50%,0.390%
2026,Texas Tech,5,72.00%,48.00%,22.00%,10.00%,5.00%,1.281%
2026,Akron,12,28.00%,8.00%,2.00%,0.50%,0.20%,0.390%
2026,Alabama,4,82.00%,62.00%,35.00%,20.00%,10.00%,1.785%
2026,Hofstra,13,18.00%,4.00%,0.80%,0.20%,0.10%,0.390%
2026,Tennessee,6,65.00%,38.00%,16.00%,6.00%,2.50%,0.614%
2026,Miami OH,11,35.00%,10.00%,3.00%,0.80%,0.30%,0.390%
2026,Virginia,3,88.00%,72.00%,48.00%,30.00%,18.00%,1.900%
2026,Wright State,14,12.00%,2.00%,0.40%,0.10%,0.04%,0.390%
2026,Kentucky,7,58.00%,28.00%,10.00%,3.50%,1.20%,0.583%
2026,Santa Clara,10,42.00%,12.00%,3.50%,1.00%,0.30%,0.390%
2026,Iowa State,2,95.00%,82.00%,60.00%,45.00%,30.00%,3.465%
2026,Tennessee State,15,5.00%,1.00%,0.20%,0.05%,0.02%,0.390%
